VOTED,SEX,RACE,EDUC,EMPSTAT,NATIVITY,REGION,METRO,MARST,DIFFMOB,AGE,NCHILD,INCOME_PER_PERSON
voted,female,white,college_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,73,0,62500.0
voted,male,white,college_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,58,0,62500.0
not_voted,female,indian_aleut_eskimo,hs_grad,employed,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,33,6,2187.5
not_voted,male,indian_aleut_eskimo,college_grad,not_in_labor_force,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,33,6,2187.5
voted,female,white,college_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,28,0,75000.0
voted,male,white,college_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,28,0,75000.0
not_voted,female,white,hs_grad,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,28,1,22500.0
not_voted,male,white,hs_grad,retired,native_born,west,metropolitan,no_spouse,no_mobility_limitation,63,0,11250.0
not_voted,female,others,hs_grad,employed,foreign_born,west,metropolitan,no_spouse,no_mobility_limitation,58,0,11250.0
not_voted,female,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,41666.666666666664
not_voted,female,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,45000.0
